coder_a,coder_b
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
bot,bot
human-like,human-like
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,bot
human-like,human-like
human-like,human-like
bot,bot
bot,bot
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,bot
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
bot,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,bot
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
human-like,human-like
