PROFILE.url,group,median,mean,n,outcome
https://www.instagram.com/Ivaany.h,AIVI,1.0,0.861,655,likes_per_comment
https://www.instagram.com/KDA_MUSIC,AIVI,0.0,1.614,8749,likes_per_comment
https://www.instagram.com/alizarexx,AIVI,1.0,1.338,880,likes_per_comment
https://www.instagram.com/amara_gram,AIVI,0.0,1.085,2412,likes_per_comment
https://www.instagram.com/bermudaisbae,AIVI,0.0,1.549,8964,likes_per_comment
https://www.instagram.com/dagny.gram,AIVI,0.0,1.127,819,likes_per_comment
https://www.instagram.com/darcymcqueeny/,HI,0.0,46.709,5954,likes_per_comment
https://www.instagram.com/ezmusgita,AIVI,0.0,0.636,560,likes_per_comment
https://www.instagram.com/fit_aitana/,AIVI,9.0,11.221,5567,likes_per_comment
https://www.instagram.com/growingannanas,HI,0.0,5.061,8405,likes_per_comment
https://www.instagram.com/haleyybaylee,HI,2.0,444.833,9689,likes_per_comment
https://www.instagram.com/iamnatalie/,HI,0.0,5.037,6123,likes_per_comment
https://www.instagram.com/iamsatiko_/,AIVI,0.0,0.228,675,likes_per_comment
https://www.instagram.com/imma.gram/,AIVI,1.0,2.01,2726,likes_per_comment
https://www.instagram.com/itsellastoller,AIVI,0.0,1.071,1425,likes_per_comment
https://www.instagram.com/jessvalortiz,HI,1.0,712.522,7607,likes_per_comment
https://www.instagram.com/lilaziyagil,AIVI,0.0,0.109,2249,likes_per_comment
https://www.instagram.com/lilmiquela/,AIVI,1.0,4.619,4919,likes_per_comment
https://www.instagram.com/madeleinecwhite,HI,0.0,102.399,6294,likes_per_comment
https://www.instagram.com/magazineluiza/,AIVI,0.0,2.273,4083,likes_per_comment
https://www.instagram.com/meicrosoft/,HI,1.0,137.516,10430,likes_per_comment
https://www.instagram.com/mia_irl,HI,1.0,0.703,1627,likes_per_comment
https://www.instagram.com/millasofiafin/,AIVI,5.0,5.623,2301,likes_per_comment
https://www.instagram.com/minnahigh/,HI,0.0,1.152,2589,likes_per_comment
https://www.instagram.com/naina_avtr,AIVI,1.0,4.07,7797,likes_per_comment
https://www.instagram.com/nikkiglamour/,HI,0.0,0.626,8505,likes_per_comment
https://www.instagram.com/opalslutuniverse,AIVI,1.0,1.211,1604,likes_per_comment
https://www.instagram.com/ria_ria_tokyo/,AIVI,1.0,0.753,1092,likes_per_comment
https://www.instagram.com/sasha_____she,AIVI,0.0,1.36,1002,likes_per_comment
https://www.instagram.com/shalicenoel/,HI,1.0,0.799,3063,likes_per_comment
https://www.instagram.com/shudu.gram,AIVI,1.0,1.553,6366,likes_per_comment
https://www.instagram.com/sofielund98,AIVI,2.0,3.112,5593,likes_per_comment
https://www.instagram.com/thalasya_,AIVI,0.0,1.766,5379,likes_per_comment
https://www.instagram.com/veronikarajek/,HI,2.0,6.303,10546,likes_per_comment
https://www.instagram.com/zoedvir/,AIVI,1.0,0.615,244,likes_per_comment
https://www.instagram.com/Ivaany.h,AIVI,322.5,311.922,100,likes_per_post
https://www.instagram.com/KDA_MUSIC,AIVI,124334.198,121661.511,100,likes_per_post
https://www.instagram.com/alizarexx,AIVI,869.5,1266.103,100,likes_per_post
https://www.instagram.com/amara_gram,AIVI,10144.0,10139.005,79,likes_per_post
https://www.instagram.com/bermudaisbae,AIVI,15695.5,20298.702,100,likes_per_post
https://www.instagram.com/dagny.gram,AIVI,239.0,1598.726,49,likes_per_post
https://www.instagram.com/darcymcqueeny/,HI,86404.0,103926.88,100,likes_per_post
https://www.instagram.com/ezmusgita,AIVI,1694.424,1541.943,62,likes_per_post
https://www.instagram.com/fit_aitana/,AIVI,11113.0,12326.563,71,likes_per_post
https://www.instagram.com/growingannanas,HI,18226.0,29175.96,100,likes_per_post
https://www.instagram.com/haleyybaylee,HI,127406.5,204844.72,100,likes_per_post
https://www.instagram.com/iamnatalie/,HI,1181.5,5829.251,100,likes_per_post
https://www.instagram.com/iamsatiko_/,AIVI,241.134,235.624,31,likes_per_post
https://www.instagram.com/imma.gram/,AIVI,8831.899,8705.775,100,likes_per_post
https://www.instagram.com/itsellastoller,AIVI,470.5,717.111,92,likes_per_post
https://www.instagram.com/jessvalortiz,HI,48831.0,165833.346,98,likes_per_post
https://www.instagram.com/lilaziyagil,AIVI,814.0,714.688,100,likes_per_post
https://www.instagram.com/lilmiquela/,AIVI,41954.979,42293.782,81,likes_per_post
https://www.instagram.com/madeleinecwhite,HI,86993.0,148543.44,100,likes_per_post
https://www.instagram.com/magazineluiza/,AIVI,863.0,6460.79,95,likes_per_post
https://www.instagram.com/meicrosoft/,HI,190077.0,365126.59,100,likes_per_post
https://www.instagram.com/mia_irl,HI,306.5,405.943,56,likes_per_post
https://www.instagram.com/millasofiafin/,AIVI,4719.0,5139.522,23,likes_per_post
https://www.instagram.com/minnahigh/,HI,6408.0,15294.224,94,likes_per_post
https://www.instagram.com/naina_avtr,AIVI,12806.0,23865.43,100,likes_per_post
https://www.instagram.com/nikkiglamour/,HI,13209.0,13058.615,100,likes_per_post
https://www.instagram.com/opalslutuniverse,AIVI,1513.5,1755.695,60,likes_per_post
https://www.instagram.com/ria_ria_tokyo/,AIVI,1580.0,1736.459,85,likes_per_post
https://www.instagram.com/sasha_____she,AIVI,677.0,762.601,100,likes_per_post
https://www.instagram.com/shalicenoel/,HI,1183.545,1214.161,100,likes_per_post
