influencer,type,comments,self_repeat_%,n_long,template_cross_%
https://www.instagram.com/Ivaany.h,AIVI,385,3.377,99,0.0
https://www.instagram.com/KDA_MUSIC,AIVI,7573,1.545,4149,0.868
https://www.instagram.com/alizarexx,AIVI,628,2.866,309,0.0
https://www.instagram.com/amara_gram,AIVI,1474,1.289,838,0.0
https://www.instagram.com/bermudaisbae,AIVI,8010,3.071,4241,1.344
https://www.instagram.com/dagny.gram,AIVI,599,3.339,266,1.128
https://www.instagram.com/darcymcqueeny/,HI,4979,0.703,2679,1.829
https://www.instagram.com/ezmusgita,AIVI,330,1.818,148,0.0
https://www.instagram.com/fit_aitana/,AIVI,3717,5.838,1462,1.984
https://www.instagram.com/growingannanas,HI,6349,3.985,4053,1.702
https://www.instagram.com/haleyybaylee,HI,8280,1.002,5496,1.201
https://www.instagram.com/iamnatalie/,HI,5527,1.429,2097,2.337
https://www.instagram.com/iamsatiko_/,AIVI,345,21.159,66,0.0
https://www.instagram.com/imma.gram/,AIVI,1754,7.355,664,0.301
https://www.instagram.com/itsellastoller,AIVI,1045,3.541,479,0.209
https://www.instagram.com/jessvalortiz,HI,6791,3.195,4886,0.798
https://www.instagram.com/lilaziyagil,AIVI,2146,2.936,1882,5.898
https://www.instagram.com/lilmiquela/,AIVI,3757,8.544,2067,0.339
https://www.instagram.com/madeleinecwhite,HI,5349,2.262,2868,1.36
https://www.instagram.com/magazineluiza/,AIVI,3228,2.447,2027,1.036
https://www.instagram.com/meicrosoft/,HI,8865,1.151,5114,1.74
https://www.instagram.com/mia_irl,HI,1459,5.62,949,0.0
https://www.instagram.com/millasofiafin/,AIVI,1342,14.754,584,0.514
https://www.instagram.com/minnahigh/,HI,1560,5.577,491,0.611
https://www.instagram.com/naina_avtr,AIVI,5709,6.586,3168,3.093
https://www.instagram.com/nikkiglamour/,HI,7193,2.03,4241,2.028
https://www.instagram.com/opalslutuniverse,AIVI,1446,0.968,771,1.297
https://www.instagram.com/ria_ria_tokyo/,AIVI,737,3.392,226,0.0
https://www.instagram.com/sasha_____she,AIVI,882,3.288,486,0.0
https://www.instagram.com/shalicenoel/,HI,2879,5.002,1028,1.556
https://www.instagram.com/shudu.gram,AIVI,4296,8.17,1579,0.57
https://www.instagram.com/sofielund98,AIVI,2978,20.618,1019,0.393
https://www.instagram.com/thalasya_,AIVI,4883,2.929,2701,0.481
https://www.instagram.com/veronikarajek/,HI,6447,7.538,2893,9.782
https://www.instagram.com/zoedvir/,AIVI,161,4.348,61,4.918
